id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,num_of_artists,year,artist_followers,genres,artist_popularity,genre
4RWsdx5N1JpprNlovU7dOL,Sementara (Live),47,267507,0,['Float'],['1g7ocdBhmOogW1VAYBtgZf'],2015-08-15,0.324,0.49,0,-9.396,1,0.0314,0.664,0.0,0.287,0.137,88.547,4,1,2015,346982,"['indonesian folk', 'indonesian indie']",42,indonesian folk
6E9KdJcY5zIhnsnKFjhuqw,Tak Sedetikpun - Live,47,243592,0,['NDC Worship'],['1KManG7vhvMuL6FhkgRi1E'],2015-12-18,0.434,0.454,5,-7.673,1,0.0313,0.664,0.000167,0.332,0.185,129.666,4,1,2015,138041,"['indonesian worship', 'world worship']",53,world worship
0mD2oRksOCjlfqr3snU96p,Sendu Melagu,47,247583,0,['Barasuara'],['5RbI1PF4n02wWKmgjk7hAE'],2015-10-16,0.673,0.703,4,-7.061,0,0.032,0.00126,0.434,0.217,0.435,140.965,4,1,2015,339409,"['indonesian indie', 'indonesian indie rock']",42,indonesian indie
0SnLVcLbmHYDNfafPdma7X,Harapanku,47,367340,0,['JPCC Worship'],['4GKPfwrzMoTyu7bYd4aqU1'],2015-08-16,0.434,0.753,5,-5.61,1,0.0282,0.0569,0.000269,0.434,0.243,79.994,4,1,2015,177589,"['indonesian worship', 'world worship']",54,world worship
5TgUl1O93ngy9kFtFp28gN,Argumentasi Dimensi,47,265493,0,['Fourtwnty'],['46cVq2dwPgzPE3X1VR9TMj'],2015-04-20,0.617,0.482,7,-8.165,0,0.0338,0.881,0.0,0.127,0.163,126.936,4,1,2015,2804521,"['indonesian folk', 'indonesian indie']",61,indonesian indie
3zMJiWwtg4LIXXSZ53uKAM,Mati Muda,47,133899,0,['Kelompok Penerbang Roket'],['4CrAgvXjMysuImxrwMqXSG'],2015-05-23,0.21,0.837,4,-7.719,0,0.054,0.00242,0.516,0.138,0.554,185.626,4,1,2015,136217,"['indonesian indie', 'indonesian indie rock', 'indonesian rock']",40,indonesian rock
5lr9fSb6BKR7rkD2JNITg2,Duniawi,47,295600,0,['rumahsakit'],['1Foqp2ngVCEaD2xKanB7QP'],2015-04-14,0.424,0.546,3,-4.697,1,0.0286,0.212,1.48e-05,0.19,0.305,152.084,4,1,2015,69037,"['indonesian indie', 'math rock']",48,math rock
7FDhF627Gio3AHAqnCduvH,Kita Yang Beda,46,232200,0,['Virzha'],['5iHfwaDNZ11Y0yAyQVYDmy'],2015-03-17,0.414,0.304,0,-10.297,1,0.0285,0.458,3.69e-06,0.113,0.295,136.331,4,1,2015,829477,['indonesian pop'],54,indonesian pop
0w97yCPUzBdTAE2YziejAi,Keep Being You,46,200514,0,['Isyana Sarasvati'],['05CRzFTp7TouOXPuH6Tapu'],2015-11-25,0.724,0.482,2,-8.164,1,0.121,0.294,5.27e-06,0.156,0.45,75.054,4,1,2015,1582085,"['indonesian pop', 'indonesian r&b']",53,indonesian r&b
3eEEd7d9VIQduqtWKVn8rR,Hingga Napas Ini Habis,46,272827,0,['Fiersa Besari'],['06QVnTCdjs4jPKO0487EGV'],2015-10-29,0.614,0.142,9,-13.021,1,0.0306,0.814,0.0,0.109,0.263,79.971,4,1,2015,5238363,"['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk']",68,bandung indie
2481K2bSh5b9ErmVdzysOB,Gagal Bersembunyi,46,263224,0,['The Rain'],['76FV2FPEhMQj3GZPIkAJP2'],2015-11-21,0.598,0.416,4,-6.205,1,0.0273,0.543,7.1e-06,0.268,0.535,117.976,4,1,2015,81187,"['indonesian pop', 'indonesian pop rock', 'indonesian rock']",53,indonesian rock
